prod_id;name
co0003844;West of Here Productions
co0003850;Nippon Television Network (NTV)
co0003851;Roy
co0003860;K. Productions
co0003865;Shonderosa Productions
co0003868;Nordisk Tonefilm
co0003876;RCS Editori S.p.A.
co0003877;Matthugh Productions
co0003883;Ivar Productions
co0003884;Lou Bunin Productions
co0003885;S.K. Film Enterprises
co0003896;Flash Back Audiovisuel
co0003898;Portland Pictures
co0003899;Electric Entertainment
co0003901;Taylor-Laughlin Productions
co0003906;Thomas Entertainment
co0003908;Lo Lo Film Inc.
co0003909;Centre Méditerranéen de Création Cinématographique
co0003913;Film Victoria
co0003915;Riefenstahl-Film der Tobis
co0003916;Oscar Film
co0003918;Metaxa Corporation
co0003920;Open Road
co0003922;Classic Film Industries
co0003928;Radio Video Service
co0003933;Mutual Productions
co0003937;FLO-Film
co0003941;Thomas Edison Invention
co0003942;Giv'en Films
co0003947;City Film Corporation
co0003954;Killarney Film Studios
co0003955;Avondale Pictures
co0003961;Soft Fruit
co0003966;Furie Productions
co0003976;Salsipuedes Productions
co0003984;Marko Röhr Productions
co0003987;Stone Village Pictures
co0003988;Jasmine Productions Inc.
co0003989;Cine Location Services
co0003992;Liquid Films
co0003993;Florafilm
co0003994;Leo Productions
co0003995;Suma Filmes
co0004007;Thalman et Cie
co0004008;Fever Productions Inc.
co0004014;Magnum Pictures Inc.
co0004022;Sony Computer Entertainment America
co0004023;Harmony Gold
co0004029;Fu-Film
co0004035;Zenshin-za
co0004037;Star Entertainment Group
co0004038;Roissy Films
co0004044;Thalia Producciiones
co0004052;Group TAC (I)
co0004065;Reliable Pictures Corporation (I)
co0004070;Korea Pictures
co0004071;M.R.S. Pictures Inc.
co0004072;Rampart Films
co0004075;Bartel
co0004077;Ariston Film GmbH
co0004082;AB Artistfilm
co0004086;Yeni Yapim
co0004089;Born Top Producers
co0004095;Playmaker Productions
co0004099;Cinecustodia
co0004103;Mohan Films
co0004111;Summa Cinematografica
co0004115;Duck Film
co0004116;Visionsmith Entertainment
co0004117;Nest Family Entertainment
co0004123;Marcel Gisler Filmproduktion
co0004124;Royal Film
co0004127;Spectator Entertainment
co0004137;Agamemnon Films
co0004138;Cinematography Committee APF
co0004142;First Take
co0004147;Witchboard Partners
co0004149;Sharmhill Productions
co0004157;Korean Film Art Center BaekDu-DaeGan Company Ltd.
co0004163;Film Finance Group
co0004166;MEDIA Programme of the European Union
co0004174;Concorde Media
co0004175;Folketshusföreningarnas Riksorganisation
co0004181;Cineritino S.r.L.
co0004204;Ruff Films
co0004205;Samyuktha Movies
co0004214;Amsco Studios
co0004215;The Associates & Aldrich Company
co0004216;Kaitz Productions
co0004217;Aldebarán Films
co0004218;Navodaya
co0004221;CGG/Tiger
co0004222;Horizon Productions
co0004225;120 Films
co0004227;National Iranian Radio and Television (NIRT)
co0004231;Harpo Films
co0004236;Visual Bible
co0004244;RDB and Company
co0004265;Nickelodeon Movies
co0004267;Jaret Entertainment
co0004268;Schroeder Hoffman Productions
co0004276;Capricci Films
co0004277;Charles Chauvel Productions
co0004278;General Mills
co0004280;Aviacsa
co0004282;Ås Film
co0004284;Hudson River Entertainment
co0004287;Progetto Immagine
co0004292;The East Side Film Company
co0004299;Films Obéron
co0004300;Janimation
co0004304;Motion Pictures
co0004305;Nice Top Entertainment
co0004309;Thorsten Nater Film
co0004310;Hasta la Victoria S.A.
co0004312;Daimo Cinematografica
co0004314;Global
co0004315;Velocity Entertainment LLC
co0004316;Oz Productions
co0004317;Wendy Finerman Productions
co0004329;Alexandra Internazionale Cinematografica
co0004331;Nucleo
co0004332;Aero Mock-Ups
co0004333;Paradine Co-Productions
co0004335;Film Fabuleux Inc.
co0004340;Mike Young Productions
co0004341;Barrandov Biografia
co0004347;Gaïa Films
co0004349;Victoria Film
co0004356;Pampa Film
