movie_id;prod_id
tt0009611;co0028083
tt0009652;co0018259
tt0009682;co0020741
tt0009701;co0059061
tt0009737;co0012609
tt0009737;co0075442
tt0009796;co0047533
tt0009878;co0056908
tt0009878;co0057931
tt0009892;co0041460
tt0009892;co0063814
tt0009893;co0035583
tt0009894;co0005462
tt0009894;co0054371
tt0009900;co0002124
tt0009900;co0029331
tt0009915;co0007705
tt0009937;co0048238
tt0009968;co0054813
tt0009976;co0007705
tt0010040;co0064360
tt0010060;co0048238
tt0010071;co0048546
tt0010103;co0130361
tt0010137;co0047533
tt0010162;co0048076
tt0010162;co0073404
tt0010193;co0041460
tt0010195;co0023400
tt0010208;co0063706
tt0010208;co0069975
tt0010219;co0023400
tt0010227;co0064360
tt0010247;co0088098
tt0010267;co0064360
tt0010281;co0035583
tt0010307;co0012852
tt0010323;co0069975
tt0010418;co0023400
tt0010456;co0035583
tt0010466;co0094430
tt0010484;co0054813
tt0010559;co0069975
tt0010598;co0060132
tt0010600;co0035583
tt0010635;co0023400
tt0010662;co0054813
tt0010680;co0129030
tt0010726;co0063706
tt0010726;co0069975
tt0010755;co0088098
tt0010806;co0054813
tt0010821;co0057931
tt0010844;co0137883
tt0010853;co0071041
tt0010879;co0047185
tt0010890;co0048238
tt0010925;co0040434
tt0010953;co0002741
tt0010962;co0010079
tt0010962;co0021661
tt0010962;co0035583
tt0010964;co0010471
tt0010964;co0048076
tt0010964;co0073404
tt0010969;co0004007
tt0010969;co0081401
tt0010969;co0081402
tt0011000;co0060132
tt0011130;co0023400
tt0011157;co0050989
tt0011193;co0019842
tt0011217;co0081405
tt0011221;co0069975
tt0011237;co0035583
tt0011267;co0129741
tt0011267;co0130287
tt0011294;co0012852
tt0011302;co0125456
tt0011317;co0023400
tt0011317;co0073404
tt0011344;co0045980
tt0011358;co0028775
tt0011370;co0088098
tt0011371;co0010079
tt0011387;co0137883
tt0011414;co0010967
tt0011415;co0054813
tt0011439;co0047185
tt0011440;co0031150
tt0011440;co0054581
tt0011474;co0047185
tt0011513;co0046122
tt0011588;co0064360
tt0011607;co0050989
tt0011623;co0010471
tt0011623;co0073404
tt0011641;co0036120
tt0011641;co0120906
tt0011647;co0023400
tt0011652;co0042390
tt0011679;co0139523
tt0011716;co0047533
tt0011723;co0063706
tt0011741;co0064360
tt0011742;co0035583
tt0011753;co0023400
tt0011779;co0071041
tt0011833;co0148483
tt0011837;co0063330
tt0011841;co0054813
tt0011865;co0023400
tt0011870;co0005508
tt0011904;co0073678
tt0011908;co0120627
tt0011908;co0128381
tt0011908;co0128383
tt0011909;co0047533
tt0011948;co0152178
tt0011960;co0035583
tt0011979;co0134936
tt0012016;co0073404
tt0012027;co0076691
tt0012068;co0042390
tt0012122;co0054813
tt0012125;co0007773
tt0012134;co0059061
tt0012134;co0125456
tt0012136;co0073404
tt0012187;co0023400
tt0012190;co0042390
tt0012249;co0160308
tt0012281;co0037435
tt0012281;co0055024
tt0012313;co0063330
tt0012314;co0063330
tt0012334;co0050989
tt0012334;co0088098
tt0012349;co0028083
tt0012364;co0050989
tt0012382;co0023400
tt0012397;co0064360
tt0012408;co0064360
tt0012465;co0023400
tt0012486;co0130877
tt0012494;co0069975
tt0012513;co0047185
tt0012532;co0054813
tt0012538;co0048238
tt0012631;co0484150
tt0012642;co0075561
tt0012645;co0035583
tt0012650;co0083829
tt0012651;co0069975
tt0012651;co0137890
tt0012675;co0023400
tt0012699;co0018074
tt0012745;co0012852
tt0012752;co0047185
tt0012755;co0064360
tt0012763;co0110876
tt0012769;co0134936
tt0012806;co0069975
tt0012928;co0073404
tt0012938;co0047533
tt0012952;co0023400
tt0012973;co0014456
tt0012973;co0078814
