movie_id;director_id
tt0019629;nm0721074
tt0019630;nm0922327
tt0019644;nm0541149
tt0019646;nm0478303
tt0019649;nm0235590
tt0019655;nm0562004
tt0019658;nm0243295
tt0019684;nm0191899
tt0019690;nm0478441
tt0019699;nm0000406
tt0019702;nm0000033
tt0019725;nm0270838
tt0019726;nm0503777
tt0019729;nm0064600
tt0019735;nm0428059
tt0019745;nm0820461
tt0019745;nm0878338
tt0019746;nm0146709
tt0019746;nm0943313
tt0019777;nm0282984
tt0019777;nm0763798
tt0019785;nm0749484
tt0019788;nm0853130
tt0019796;nm0654868
tt0019798;nm0188669
tt0019798;nm0840042
tt0019800;nm0578985
tt0019811;nm0631438
tt0019815;nm0291548
tt0019823;nm0337586
tt0019824;nm0515979
tt0019839;nm0190516
tt0019843;nm0001124
tt0019850;nm0532561
tt0019852;nm0523932
tt0019856;nm0136888
tt0019884;nm0001008
tt0019886;nm0384276
tt0019889;nm0460834
tt0019901;nm0000485
tt0019909;nm0194492
tt0019929;nm0783629
tt0019933;nm0916224
tt0019935;nm0001124
tt0019936;nm0215877
tt0019939;nm0871184
tt0019945;nm0054977
tt0019946;nm0002233
tt0019946;nm0190516
tt0019949;nm0878338
tt0019957;nm0184738
tt0019959;nm0896542
tt0019976;nm0943758
tt0019979;nm0825596
tt0019983;nm0383304
tt0019992;nm0282984
tt0019993;nm0127511
tt0019993;nm0396876
tt0019993;nm0718469
tt0020004;nm0159725
tt0020011;nm0484366
tt0020014;nm0210352
tt0020018;nm0191899
tt0020018;nm0909825
tt0020025;nm0733208
tt0020030;nm0245385
tt0020034;nm0939992
tt0020062;nm0275494
tt0020075;nm0774256
tt0020078;nm0270838
tt0020080;nm0501902
tt0020081;nm0291548
tt0020092;nm0510839
tt0020099;nm0202590
tt0020103;nm0280463
tt0020112;nm0523932
tt0020114;nm0943758
tt0020122;nm0097648
tt0020126;nm0000859
tt0020142;nm0000033
tt0020143;nm0502752
tt0020144;nm0502752
tt0020163;nm0003593
tt0020163;nm0322843
tt0020163;nm0802561
tt0020163;nm0802563
tt0020163;nm0880618
tt0020166;nm0448915
tt0020182;nm0275220
tt0020193;nm0433292
tt0020197;nm0498174
tt0020198;nm0159725
tt0020198;nm0399203
tt0020198;nm0869665
tt0020210;nm0113284
tt0020217;nm0587277
tt0020223;nm0002031
tt0020223;nm0953123
tt0020228;nm0275494
tt0020230;nm0468882
tt0020230;nm0871185
tt0020232;nm0259611
tt0020238;nm0189076
tt0020247;nm0176699
tt0020253;nm0886754
tt0020269;nm0243295
tt0020286;nm0652302
tt0020293;nm0740282
tt0020298;nm0002233
tt0020298;nm0092915
tt0020305;nm0383304
tt0020320;nm0006276
tt0020332;nm0715564
tt0020335;nm0097648
tt0020336;nm0718469
tt0020344;nm0131460
tt0020358;nm0227020
tt0020359;nm0000406
tt0020359;nm0124877
tt0020364;nm0840042
tt0020388;nm0054977
tt0020392;nm0943758
tt0020402;nm0372609
tt0020402;nm0689471
tt0020403;nm0012317
tt0020405;nm0142557
tt0020410;nm0731910
tt0020425;nm0939992
tt0020431;nm0422097
tt0020431;nm0652302
tt0020439;nm0064600
tt0020442;nm0000036
tt0020442;nm0781292
tt0020446;nm0466099
tt0020451;nm0001178
tt0020451;nm0017893
tt0020458;nm0749484
